F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,,,ageuniq,Zuniq,ageconv,Zconv
2.00741E-20,1.8769E-20,1.87258E-20,1.69344E-20,1.42208E-20,1.46222E-20,1.25069E-20,2.89991E-20,9.31453E-21,7.61857E-21,6.52623E-21,,,11800000,0.01035,0.707188201,-0.301029996
8.78217E-21,8.32146E-21,8.26197E-21,7.28134E-21,6.21496E-21,6.39191E-21,5.71646E-21,1.99294E-20,1.06385E-20,1.22314E-20,1.34278E-20,,,20200000,0.01712,0.730535137,-0.082466585
4.55872E-21,4.44216E-21,4.43548E-21,4.10366E-21,3.68105E-21,3.72662E-21,3.49235E-21,1.27354E-20,8.00043E-21,1.03143E-20,1.22528E-20,,,34800000,0.00016,0.754157924,-2.111850363
2.31849E-21,2.32432E-21,2.33107E-21,2.2708E-21,2.15417E-21,2.16377E-21,2.16874E-21,8.51837E-21,4.05302E-21,4.25591E-21,4.37728E-21,,,59800000,0.00026,0.777670118,-1.900996997
1.18275E-21,1.22088E-21,1.23175E-21,1.27212E-21,1.27737E-21,1.27059E-21,1.37196E-21,5.99453E-21,2.81215E-21,2.90896E-21,2.96101E-21,,,103000000,0.00045,0.801283722,-1.662757832
5.74474E-22,6.11467E-22,6.26856E-22,6.88433E-22,7.3808E-22,7.30472E-22,8.72485E-22,4.29931E-21,2.00054E-21,2.09358E-21,2.19767E-21,,,177000000,0.00076,0.824797327,-1.435156753
2.56168E-22,2.80513E-22,2.93459E-22,3.43763E-22,3.92098E-22,3.89526E-22,5.24658E-22,2.9502E-21,1.48965E-21,1.55074E-21,1.59363E-21,,,304000000,0.00129,0.848287358,-1.205380635
9.30011E-23,1.11318E-22,1.2161E-22,1.55159E-22,1.93976E-22,1.93818E-22,2.98075E-22,2.00941E-21,1.11073E-21,1.2511E-21,1.34738E-21,,,522000000,0.00218,0.87176705,-0.977513852
2.06583E-23,2.9807E-23,4.22356E-23,6.39281E-23,9.12274E-23,9.13679E-23,1.69915E-22,1.33396E-21,8.31096E-22,9.74143E-22,1.0693E-21,,,897000000,0.00368,0.895279244,-0.750122527
1.7492E-24,2.87508E-24,8.79244E-24,2.43737E-23,4.14607E-23,4.38396E-23,1.11766E-22,1.04237E-21,9.01894E-22,1.12064E-21,1.26742E-21,,,1540000000,0.00619,0.918752072,-0.524279696
1.65405E-25,2.59958E-25,1.02073E-24,7.84836E-24,1.63931E-23,1.78028E-23,5.41672E-23,4.89738E-22,4.7854E-22,5.96002E-22,6.89244E-22,,,2650000000,0.01035,0.942324587,-0.301029996
3.83983E-26,5.90997E-26,2.35497E-25,3.22014E-24,7.78901E-24,8.71621E-24,3.07114E-23,2.82064E-22,2.90546E-22,3.63497E-22,4.21889E-22,,,4560000000,0.01712,0.965896484,-0.082466585
5.95427E-27,8.92653E-27,4.04242E-26,1.20679E-24,3.60753E-24,4.34645E-24,1.8843E-23,2.78365E-22,6.48453E-22,1.11712E-21,1.58112E-21,,,7840000000,0.00016,0.989431606,-2.111850363
9.11046E-28,1.4114E-27,6.25371E-27,4.08618E-25,1.81028E-24,2.45066E-24,2.37261E-23,8.71937E-22,1.69697E-21,2.4601E-21,3.09194E-21,,,13500000000,0.00026,1.013033377,-1.900996997
